"","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade","block_year"
"397",76,2016,840,1719,491,0,593,0,0,56410,0,0,8140,0,3053,0,0,0,65848,0,48790,0,20859,0,0,0,0,38550,0,31560,0,607,0,0,0,0,0,0,0,0,110,0,803,0,0,1150,415,114,43,1,0,5,1,1,0,4,16,3,1,0,13,2,0,0,47,2,0,"76_2016"
"398",76,2017,840,1719,491,0,593,0,0,56410,0,0,8140,0,3053,0,0,0,65848,0,48790,0,20859,0,0,0,0,38550,0,31560,0,607,0,0,0,0,0,0,0,0,110,0,803,0,0,1150,415,114,43,1,0,5,1,1,0,4,16,3,1,0,13,2,0,0,47,2,0,"76_2017"
"399",76,2018,840,1684,425,0,602,0,0,56133,0,0,8113,0,3053,0,0,0,64732,0,48790,0,20859,0,0,0,0,38550,0,31312,0,776,0,0,0,0,0,0,0,0,511,0,1902,0,0,1150,415,114,48,4,0,5,0,1,0,4,17,2,1,0,14,2,1,2,42,2,0,"76_2018"
"400",76,2019,840,1684,425,0,602,0,0,56133,0,0,8113,0,3053,0,0,0,64732,0,48790,0,20859,0,0,0,0,38550,0,31312,0,776,0,0,0,0,0,0,0,0,511,0,1902,0,0,1150,415,114,48,4,0,5,0,1,0,4,17,2,1,0,14,2,1,2,42,2,0,"76_2019"
"401",77,2013,90,655,204,0,223,0,7463,22270,0,6751,4550,3486,0,0,0,0,35938,0,15212,0,13772,0,1582,2898,0,24590,0,870,0,0,0,0,0,0,0,0,0,0,2268,0,2422,0,0,740,107,330,10,2,0,1,0,3,0,3,1,5,0,0,10,4,0,2,2,1,0,"77_2013"
"402",77,2014,90,655,204,0,223,0,7463,22270,0,6751,4550,3486,0,0,0,0,35938,0,15212,0,13772,0,1582,2898,0,24590,0,492,0,0,0,0,0,0,0,0,0,0,2268,0,2800,0,0,740,107,330,10,2,0,1,0,3,0,2,1,5,0,0,10,4,0,2,2,1,0,"77_2014"
"403",77,2015,90,660,204,0,222,0,7463,22737,0,7164,4735,3360,0,0,0,0,31258,0,15212,0,13772,0,1582,2898,0,24501,0,1215,0,0,0,0,431,0,0,0,0,0,2268,0,8687,0,0,740,102,330,9,2,0,1,0,2,0,3,1,4,0,0,11,3,0,2,4,1,0,"77_2015"
"404",77,2016,90,660,204,0,222,0,7463,22737,0,7164,4735,3360,0,0,0,0,31258,0,15212,0,13772,0,1582,2898,0,24501,0,1215,0,0,0,0,431,0,0,0,0,0,2268,0,8687,0,0,740,102,330,9,2,0,1,0,2,0,3,1,4,0,0,11,3,0,2,4,1,0,"77_2016"
"405",77,2017,90,636,316,0,222,0,7463,22779,0,1008,4618,3360,0,0,0,0,31754,0,15212,0,13772,0,0,2721,0,24501,0,907,0,0,0,0,0,0,0,0,0,0,0,0,17781,0,0,740,101,330,11,3,0,1,1,1,0,2,2,2,0,0,10,4,0,2,4,1,0,"77_2017"
"406",77,2018,90,636,316,0,222,0,7463,22779,0,1008,4618,3360,0,0,0,0,31754,0,15212,0,13772,0,0,2721,0,24501,0,907,0,0,0,0,0,0,0,0,0,0,0,0,17781,0,0,740,101,330,11,3,0,1,1,1,0,2,2,2,0,0,10,4,0,2,4,1,0,"77_2018"
"407",77,2019,140,633,316,0,222,0,7463,22403,0,6228,4442,3486,0,0,0,0,34646,0,15212,0,13772,0,0,3984,0,24501,0,529,0,0,0,0,431,0,0,0,43677,0,0,0,4647,0,0,650,100,330,11,3,0,1,2,6,0,3,2,1,0,1,8,5,0,1,3,0,0,"77_2019"
