"","year_completed","block_id","ev_clue_small_area","dv_parking_per_dwelling","ev_percent_single_bedroom","ev_percent_two_bedrooms","ev_percent_three_bedrooms","ev_percent_student_accommodation","ev_bike_per_dwelling"
"27",2014,101,"Elsewhere",0,81.4285714285714,18.5714285714286,0,0,0.642857142857143
"28",2014,105,"CBD",0.281314168377823,38.8090349075975,59.1375770020534,2.05338809034908,0,0.414784394250513
"29",2014,212,"Elsewhere",0,39.2857142857143,58.9285714285714,1.78571428571429,0,0
"30",2014,233,"Elsewhere",0,37.0689655172414,48.2758620689655,14.6551724137931,0,0
"31",2014,255,"Elsewhere",0,77.9661016949153,21.1864406779661,0.847457627118644,0,0.338983050847458
"32",2014,263,"Elsewhere",0.300353356890459,69.6113074204947,30.3886925795053,0,0,0
"33",2014,264,"Elsewhere",0,20.1492537313433,79.8507462686567,0,0,0
"34",2014,265,"Elsewhere",0,54.5454545454545,45.4545454545455,0,0,0
"35",2014,271,"Elsewhere",0,0,0,0,100,0
"36",2014,336,"Elsewhere",1.19230769230769,15.3846153846154,50,34.6153846153846,0,0
"37",2014,362,"Elsewhere",0,50.9090909090909,49.0909090909091,0,0,0
"38",2014,369,"Elsewhere",0,23.8095238095238,71.4285714285714,4.76190476190476,0,0
"39",2014,409,"Elsewhere",0,60.7142857142857,39.2857142857143,0,0,1
"40",2014,414,"Elsewhere",0,0,58.3333333333333,41.6666666666667,0,0
"41",2014,427,"Elsewhere",0,0,100,0,0,0
"42",2014,430,"Elsewhere",0.833333333333333,44.4444444444444,55.5555555555556,0,0,0
"43",2014,810,"Elsewhere",0.823960880195599,28.361858190709,63.3251833740831,8.31295843520782,0,0.867970660146699
"44",2014,927,"Elsewhere",1.07428571428571,8,92,0,0,0
"45",2014,2525,"Elsewhere",0,65.3846153846154,34.6153846153846,0,0,0
"46",2015,87,"CBD",0.332574031890661,47.1526195899772,45.7858769931663,7.06150341685649,0,0.339407744874715
"47",2015,103,"CBD",0,38.5026737967914,54.5454545454545,6.95187165775401,0,0
"48",2015,104,"CBD",0.437340153452685,48.2097186700767,47.1867007672634,4.60358056265985,0,0.374680306905371
"49",2015,201,"Elsewhere",0.96078431372549,25.4901960784314,54.9019607843137,19.6078431372549,0,0.303921568627451
"50",2015,225,"Elsewhere",0,0,100,0,0,0.307692307692308
"51",2015,257,"Elsewhere",0.0120772946859903,0,0,0,100,0.285024154589372
"52",2015,339,"Elsewhere",0,50,50,0,0,0
"53",2015,347,"Elsewhere",0,75,25,0,0,0
"54",2015,368,"Elsewhere",1,51.5151515151515,41.4141414141414,7.07070707070707,0,0.606060606060606
"55",2015,427,"Elsewhere",0.75609756097561,63.4146341463415,36.5853658536585,0,0,1.17073170731707
"56",2015,439,"Elsewhere",0,100,0,0,0,0
"57",2015,773,"Docklands",1.61463414634146,25.3658536585366,48.780487804878,25.8536585365854,0,0.317073170731707
"58",2015,811,"Elsewhere",0.577114427860697,46.0199004975124,36.5671641791045,17.4129353233831,0,0
"59",2015,815,"Elsewhere",0.0277777777777778,75,25,0,0,0.592592592592593
"60",2015,908,"Elsewhere",0.120689655172414,0,0,0,100,0
"61",2015,1108,"Docklands",1.66379310344828,15.5172413793103,65.948275862069,18.5344827586207,0,1.27155172413793
"62",2016,11,"CBD",0,62.5,37.5,0,0,0.710526315789474
"63",2016,46,"CBD",1.91666666666667,50,50,0,0,0.25
"64",2016,47,"CBD",0,40,60,0,0,0
"65",2016,71,"CBD",0.727732793522267,43.6234817813765,52.9352226720648,3.4412955465587,0,0.486842105263158
"66",2016,265,"Elsewhere",0.272727272727273,52.2727272727273,45.4545454545455,2.27272727272727,0,0.454545454545455
"67",2016,356,"Elsewhere",0,11.7647058823529,52.9411764705882,35.2941176470588,0,0
"68",2016,366,"Elsewhere",0.927536231884058,50.7246376811594,49.2753623188406,0,0,0
"69",2016,376,"Elsewhere",0.742290748898678,42.7312775330396,57.2687224669604,0,0,0.295154185022026
"70",2016,378,"Elsewhere",0.728682170542636,42.6356589147287,52.3255813953488,5.03875968992248,0,0.631782945736434
"71",2016,409,"Elsewhere",0.0882352941176471,57.843137254902,42.156862745098,0,0,0.205882352941176
