"","block_year","development_key","year_completed","clue_block","street_address","resi_dwellings","studio_dwe","one_bdrm_dwe","two_bdrm_dwe","three_bdrm_dwe","student_apartments","student_beds","student_accommodation_units","car_spaces","bike_spaces","longitude","latitude","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade"
"158","72_2010","X000185",2010,72,"551-555 Little Lonsdale Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9555651,-37.81329565,72,2010,300,1336,237,0,160,0,0,18206,0,3653,4518,1447,0,0,0,0,24962,0,18249,0,7629,0,13942,728,0,11483,0,833,0,0,0,0,675,0,0,0,0,0,0,0,5543,0,0,800,185,92,29,1,0,0,2,3,0,5,2,3,0,0,2,49,3,1,5,0,1
"159","72_2014","X000186",2014,72,"Metro Park West Apartments 557-561 Little Lonsdale Street MELBOURNE VIC 3000",195,0,160,35,0,0,0,0,0,60,144.9553662,-37.81335272,72,2014,300,1459,239,0,160,0,0,17953,0,3653,4906,1447,0,0,0,0,26407,0,18249,0,7629,0,13942,728,0,11483,0,844,0,0,0,0,528,0,0,0,0,0,0,0,3309,0,0,800,185,92,29,2,0,0,1,2,0,5,3,1,1,0,3,50,3,1,5,0,0
"160","82_2005","X000209",2005,82,"466-468 Little Lonsdale Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.955573,-37.81290461,82,2005,0,652,203,0,35,0,0,21243,0,1950,4277,3013,0,0,0,0,59712,0,0,0,13709,0,33320,2425,0,4212,0,0,0,0,0,0,216,0,1477,0,0,0,0,0,17052,0,0,0,348,55,11,7,0,0,0,4,1,6,0,3,0,0,1,28,5,3,3,1,2
"161","83_2010","X000212",2010,83,"La Banque Apartments 380-386 Little Lonsdale Street MELBOURNE VIC 3000",257,0,0,0,0,0,0,0,0,0,144.9581022,-37.81209822,83,2010,0,228,126,0,344,0,0,15450,0,2772,1738,0,0,0,0,0,11629,0,9000,0,9251,0,0,5592,0,30057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814,0,0,647,92,239,3,0,0,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0
"162","84_2014","X000217",2014,84,"280-294 Little Lonsdale Street MELBOURNE VIC 3000",200,0,66,130,4,0,0,0,107,0,144.9609411,-37.81127448,84,2014,510,1083,27,8,658,13,0,15744,0,2050,5185,0,0,2365,0,0,10584,0,0,0,8083,0,0,1147,0,53051,0,4184,0,0,0,0,1767,0,0,0,2862,0,0,0,1800,0,0,0,114,112,17,3,0,0,3,3,1,3,0,1,2,0,7,17,0,3,10,0,1
"163","84_2014","X000218",2014,84,"280-294 Little Lonsdale Street MELBOURNE VIC 3000",318,0,0,206,112,0,0,0,125,164,144.9609411,-37.81127448,84,2014,510,1083,27,8,658,13,0,15744,0,2050,5185,0,0,2365,0,0,10584,0,0,0,8083,0,0,1147,0,53051,0,4184,0,0,0,0,1767,0,0,0,2862,0,0,0,1800,0,0,0,114,112,17,3,0,0,3,3,1,3,0,1,2,0,7,17,0,3,10,0,1
"164","87_2004","X000234",2004,87,"158-162 Little Lonsdale Street MELBOURNE VIC 3000",80,0,0,0,0,0,0,0,0,0,144.9671868,-37.80954011,87,2004,629,852,0,8,217,0,0,16289,0,0,1560,4430,0,1481,0,0,36127,0,0,0,4928,0,0,1211,0,12942,0,969,0,0,0,0,296,0,0,0,3642,0,0,0,2524,0,0,24,145,117,16,3,0,0,1,2,2,6,3,1,0,0,6,14,5,3,3,2,1
"165","87_2010","X000236",2010,87,"EastEnd Apartments 2-14 Exploration Lane MELBOURNE VIC 3000",177,0,0,0,0,0,0,0,0,0,144.9684463,-37.8091399,87,2010,560,811,12,8,294,0,0,15847,0,0,1612,4411,0,1463,0,0,36508,0,0,0,5278,0,0,1082,0,16774,0,1441,0,0,0,0,0,0,0,0,567,0,0,0,3102,0,0,0,99,140,15,3,0,0,1,4,2,1,4,1,0,1,3,12,1,6,2,1,0
"166","247_2008","X000371",2008,247,"204-218 Lygon Street CARLTON VIC 3053",0,0,0,0,0,0,0,0,0,0,144.9671431,-37.80218764,247,2008,200,957,381,19,5,0,1737,4683,0,1761,4044,0,1003,5085,0,0,6841,0,9063,0,2334,0,0,6081,0,936,0,1230,0,0,0,0,661,0,0,0,0,0,0,0,1561,0,0,408,184,22,13,1,0,1,2,2,0,5,5,0,0,0,5,7,1,0,2,0,0
"167","252_2003","X000376",2003,252,"98-126 Lygon Street CARLTON VIC 3053",16,0,0,0,0,0,0,0,0,0,144.9667019,-37.80443771,252,2003,500,1797,440,13,128,0,2295,4408,0,0,5248,0,572,2793,0,0,2986,0,0,0,0,0,0,5336,0,7714,0,1183,0,0,0,0,606,0,0,0,0,0,0,376,2875,0,0,0,60,160,22,1,0,1,0,1,1,4,5,0,1,0,2,6,0,2,5,0,2
"168","309_2010","X000445",2010,309,"275-285 MacAulay Road NORTH MELBOURNE VIC 3051",0,0,0,0,0,0,0,0,0,0,144.9376304,-37.79551317,309,2010,0,30,9,0,0,0,0,519,0,0,0,349,0,0,0,0,2102,0,0,0,0,0,0,2345,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,1530,0,0,0,42,0,1,1,0,0,2,0,3,0,0,0,1,0,3,6,0,1,0,0,1
"169","309_2011","X000446",2011,309,"287-313 MacAulay Road NORTH MELBOURNE VIC 3051",0,0,0,0,0,0,0,0,0,0,144.9371088,-37.79545188,309,2011,0,30,9,0,0,0,0,519,0,0,0,349,0,0,0,0,2102,0,0,0,0,0,0,2345,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,1530,0,0,0,42,0,1,1,0,0,2,0,3,0,0,0,1,0,3,6,0,1,0,0,1
"170","97_2012","X000268",2012,97,"Mackenzie Tower 27-39 MacKenzie Street MELBOURNE VIC 3000",372,0,0,0,0,0,0,0,0,0,144.9669523,-37.8078113,97,2012,100,321,41,0,455,0,9578,27069,0,2233,1785,0,0,0,0,0,11842,0,10869,0,9891,0,0,2388,0,33623,0,764,0,0,0,0,0,0,0,0,0,0,0,0,4208,0,0,865,55,2,7,2,0,1,1,2,0,1,1,4,0,0,5,5,0,1,1,0,0
"171","44_2004","X000099",2004,44,"18-22 McKillop Street MELBOURNE VIC 3000",12,0,0,0,0,0,0,0,0,0,144.9618186,-37.8151458,44,2004,0,514,48,0,38,0,2958,39089,0,0,3108,5678,847,0,0,0,69078,0,0,0,2616,0,0,1905,0,3026,0,19931,0,129,0,0,4367,0,0,0,0,0,6116,0,5265,0,721,213,84,0,11,26,0,2,3,3,3,17,13,6,10,0,13,56,2,10,36,3,2
"172","23_2005","X000051",2005,23,"54-60 Market Street MELBOURNE VIC 3000",37,0,0,0,0,0,0,0,0,0,144.9608187,-37.81777732,23,2005,70,535,95,0,55,0,0,32079,0,0,2077,5676,0,0,0,0,55044,0,5696,0,2134,0,0,4534,0,3262,0,1509,0,0,0,0,3217,0,0,0,1455,0,10946,0,8865,0,0,488,72,6,9,11,1,1,3,0,0,12,3,6,3,2,12,36,0,2,5,2,0
"173","1108_2014","X001077",2014,1108,"Victoria Harbour Precinct 938 Collins Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,0,0,144.9367403,-37.81977616,1108,2014,690,3625,1360,0,913,0,0,130654,0,3248,12191,10534,715,0,0,0,202239,0,26248,0,78091,0,0,78168,0,80104,0,6353,0,0,0,57140,4036,0,0,0,8320,0,0,7209,23355,0,0,673,1722,925,45,5,0,7,4,1,2,7,4,2,5,0,12,12,1,6,8,4,1
"174","361_2005","X000504",2005,361,"15-19 O'Connell Street NORTH MELBOURNE VIC 3051",0,0,0,0,0,69,0,69,0,0,144.9578386,-37.80543275,361,2005,150,139,12,2,85,69,0,2392,0,0,901,0,0,0,0,0,2062,0,0,0,0,0,0,187,0,4737,0,558,0,0,0,0,0,1309,0,0,0,0,1110,0,3624,0,0,20,35,77,4,1,1,0,1,0,0,0,1,2,0,0,5,5,0,0,2,1,0
"175","361_2002","X000506",2002,361,"21-27 O'Connell Street NORTH MELBOURNE VIC 3051",25,0,0,0,0,0,0,0,0,0,144.9576484,-37.8052506,361,2002,150,340,0,0,76,0,0,2275,0,0,970,0,0,0,0,0,575,0,0,0,0,0,0,614,0,4424,0,668,0,0,0,0,2936,0,0,0,0,0,0,0,2730,0,0,24,37,69,4,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,0
"176","266_2003","X000431",2003,266,"9-13 Earl Street CARLTON VIC 3053",0,0,0,0,0,97,0,97,0,0,144.9654309,-37.80616681,266,2003,350,162,74,3,2,97,0,957,0,50059,1060,0,0,453,0,0,1984,0,0,0,0,0,0,2997,0,0,0,572,0,0,0,0,0,2085,0,0,0,0,0,0,676,0,1715,0,76,2,5,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,1,0,0
"177","435_2008","X000597",2008,435,"39-47 Peel Street WEST MELBOURNE VIC 3003",9,0,0,0,0,0,0,0,0,0,144.9554125,-37.80717882,435,2008,50,130,10,51,24,0,0,485,0,0,384,0,0,6081,0,0,1179,0,0,0,0,0,0,2050,0,3425,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,6,1,0,0,0,0,0,1,2,0,0,0,2,2,0,0,12,1,0
"178","255_2014","X000381",2014,255,"95-125 Pelham Street CARLTON VIC 3053",118,0,92,25,1,0,0,0,0,40,144.964422,-37.80282176,255,2014,154,157,46,21,190,412,0,10334,0,2166,1059,0,2222,2851,0,0,8580,0,0,0,5037,0,0,931,0,11011,0,1659,0,0,0,0,0,13590,0,0,10122,0,0,0,1104,0,0,0,271,49,5,0,0,0,0,1,0,2,3,0,1,0,5,7,1,1,4,0,1
"179","870_2011","X000952",2011,870,"Royal Freemasons Homes Of Victoria 31-75 Moubray Street MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.983403,-37.84761543,870,2011,0,244,130,0,0,0,0,25971,0,59621,0,0,86669,0,12032,0,0,0,0,0,31055,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,6120,0,0,0,0,0,0,1729,70,0,2,0,0,0,0,1,0,0,3,0,0,0,2,5,0,0,4,0,0
"180","264_2010","X000415",2010,264,"205-209 Queensberry Street CARLTON VIC 3053",0,0,0,0,0,0,0,0,0,0,144.9619971,-37.80465676,264,2010,0,40,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"181","263_2006","X000410",2006,263,"233-251 Queensberry Street CARLTON VIC 3053",0,0,0,0,0,0,0,0,0,0,144.9606972,-37.80460826,263,2006,0,30,0,0,238,0,0,10547,0,0,560,1675,0,0,0,0,12198,0,8803,0,0,0,0,3458,0,19061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8274,0,505,454,10,262,2,1,0,0,1,0,3,0,0,1,0,0,14,11,1,0,3,0,0
"182","802_2015","X000904",2015,802,"31-49 Queens Bridge Street SOUTHBANK VIC 3006",667,0,0,0,0,0,0,0,611,0,144.9613935,-37.82293404,802,2015,0,992,92,0,1192,0,0,78069,0,0,11603,7804,0,0,0,0,94737,0,20100,0,57396,0,0,7429,0,112951,0,1531,0,0,0,0,0,0,0,0,0,0,0,3098,14642,0,0,1110,304,955,20,1,1,2,4,0,2,4,2,0,5,2,4,18,0,4,6,1,2
"183","93_2010","X000246",2010,93,"CityTempo Apartments 175-181 A'Beckett Street MELBOURNE VIC 3000",187,0,0,0,0,0,0,0,0,0,144.9582124,-37.81022002,93,2010,0,148,2,0,699,0,3280,27250,0,1898,0,0,0,0,0,0,48046,0,9744,0,14814,0,1320,946,0,41537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572,1987,0,255,148,271,4,1,0,1,0,4,0,3,0,0,0,0,4,10,6,2,1,0,2
"184","94_2003","X000256",2003,94,"350-370 Queen Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.95908,-37.81042552,94,2003,0,212,42,0,39,0,0,14361,0,0,933,0,0,0,0,0,56522,0,26250,0,0,0,0,3949,0,3854,0,1010,0,0,0,0,1921,0,0,0,0,0,11484,0,3819,0,0,750,5,13,5,1,0,0,1,1,0,0,0,1,2,0,3,10,3,2,6,1,1
"185","54_2003","X000133",2003,54,"184-192 Queen Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9606798,-37.81402804,54,2003,0,786,222,0,36,0,0,16086,0,0,1879,0,1285,0,0,0,17917,0,10513,0,5115,0,0,1810,0,3733,0,8069,0,0,0,0,1936,0,0,0,9459,0,0,0,7076,0,0,450,160,14,19,12,0,1,1,2,0,11,4,2,4,0,10,31,1,1,39,3,0
"186","216_2004","X000352",2004,216,"349-355 Rathdowne Street CARLTON VIC 3053",38,0,0,0,0,0,0,0,0,0,144.969914,-37.79819052,216,2004,0,106,12,26,46,0,0,1043,0,0,269,0,0,4537,0,0,1686,0,0,0,0,0,0,4600,0,2816,0,2457,0,0,0,0,406,0,0,0,2104,0,0,0,0,0,0,0,30,34,4,1,0,0,0,0,0,1,0,0,1,0,8,5,1,0,7,0,1
"187","216_2004","X000353",2004,216,"357-363 Rathdowne Street CARLTON VIC 3053",20,0,0,0,0,0,0,0,0,0,144.9699425,-37.79802699,216,2004,0,106,12,26,46,0,0,1043,0,0,269,0,0,4537,0,0,1686,0,0,0,0,0,0,4600,0,2816,0,2457,0,0,0,0,406,0,0,0,2104,0,0,0,0,0,0,0,30,34,4,1,0,0,0,0,0,1,0,0,1,0,8,5,1,0,7,0,1
"188","427_2013","X000587",2013,427,"141-149 Roden Street WEST MELBOURNE VIC 3003",65,0,49,16,0,0,0,0,62,26,144.9473904,-37.80851237,427,2013,0,95,39,13,1,0,0,564,0,0,0,0,0,1555,0,0,1376,0,0,0,448,0,0,1727,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,2180,0,0,0,47,11,3,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,2,0,4
"189","432_2011","X000595",2011,432,"42-50 Rosslyn Street WEST MELBOURNE VIC 3003",35,0,0,0,0,0,0,0,0,0,144.9525577,-37.80740897,432,2011,0,66,8,16,100,0,0,5173,0,4183,0,0,0,2375,0,0,4713,0,0,0,4406,0,2753,7726,0,7639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,72,3,0,0,1,0,3,0,0,0,0,0,0,1,3,0,0,0,3,0
"190","36_2014","X000085",2014,36,"150-154 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,143,0,144.968176,-37.81417708,36,2014,620,426,14,0,4,0,16209,13322,0,0,1598,0,451,0,0,0,10001,0,0,0,0,0,9609,3700,0,531,0,2951,0,0,0,0,2251,0,0,0,27867,0,0,0,232,0,260,0,63,0,10,4,0,2,0,0,1,1,5,1,4,0,9,9,2,1,16,0,0
"191","97_2004","X000269",2004,97,"336-376 Russell Street MELBOURNE VIC 3000",400,0,0,0,0,0,0,0,0,0,144.9664698,-37.80825207,97,2004,100,155,28,0,27,0,10154,19229,0,0,0,0,0,0,0,0,13809,0,14176,0,0,0,0,4106,0,4063,0,0,0,0,0,0,0,0,0,0,0,0,10937,0,2219,0,0,1047,0,0,2,1,0,0,2,1,0,2,0,4,0,0,8,5,0,4,1,0,1
"192","87_2015","X000239",2015,87,"302-324 Russell Street MELBOURNE VIC 3000",439,0,207,201,31,0,0,0,146,149,144.9668052,-37.80930233,87,2015,513,1192,60,9,909,0,4411,28409,0,0,2985,4668,0,1574,0,0,36559,0,0,0,14199,0,0,918,0,58563,0,602,0,0,0,0,0,0,0,0,0,0,0,0,3164,502,0,0,52,319,22,2,0,0,1,3,2,1,0,0,0,0,6,7,0,4,1,0,1
"193","47_2002","X000113",2002,47,"Hero Apartments 114-120 Russell Street MELBOURNE VIC 3000",132,0,0,0,0,0,0,0,0,0,144.9690282,-37.81349357,47,2002,0,453,14,0,121,0,5381,6463,0,0,4407,0,0,0,0,0,4386,0,0,0,0,0,1118,214,0,11321,0,4019,0,0,0,0,2284,0,0,0,0,0,0,0,985,0,0,0,24,60,11,1,0,0,0,1,0,0,2,0,0,0,10,4,0,0,18,0,0
"194","27_2013","X000062",2013,27,"42-44 Russell Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9697387,-37.81556762,27,2013,1210,1030,46,0,2,0,21166,45339,0,0,12445,13605,1195,0,0,0,92789,0,9000,0,8203,0,0,869,0,0,0,6560,0,0,0,0,2152,0,0,0,3798,0,0,0,2455,0,0,620,450,0,12,7,0,1,6,0,1,45,5,2,3,0,8,39,2,2,24,0,0
"195","710_2006","X000711",2006,710,"Royce Hotel 375-385 St Kilda Road MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.9755401,-37.83508742,710,2006,120,292,175,0,2,0,6272,3402,0,0,1025,0,0,0,0,0,2495,0,0,0,0,0,0,1416,0,199,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,10,1,0,1,0,1,0,1,1,1,0,0,4,2,1,0,5,0,0
"196","710_2009","X000713",2009,710,"393-401 St Kilda Road MELBOURNE VIC 3004",17,0,0,0,0,0,0,0,0,0,144.9760291,-37.83570805,710,2009,120,312,95,0,2,0,5520,3670,0,0,1067,0,0,0,0,0,1288,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,8,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0
"197","760_2010","X000765",2010,760,"505-507 St Kilda Road MELBOURNE VIC 3004",123,0,0,0,0,0,0,0,0,0,144.9792364,-37.84370941,760,2010,150,208,150,0,357,0,0,39391,0,0,1271,0,4328,0,0,0,43021,0,5793,0,26477,0,0,23072,0,52320,0,1606,0,0,0,0,0,0,0,0,0,0,0,0,7289,0,0,409,723,387,4,10,0,2,6,0,1,20,51,5,2,1,6,37,2,5,4,4,3
"198","724_2006","X000715",2006,724,"519-539 St Kilda Road MELBOURNE VIC 3004",300,0,0,0,0,0,0,0,0,0,144.9798741,-37.84556679,724,2006,0,278,134,0,2,0,0,6597,0,0,0,0,965,0,0,0,29694,0,0,0,8739,0,0,21586,0,0,0,1033,0,0,0,0,0,0,0,0,13810,0,0,0,7037,0,0,170,493,0,4,3,0,1,1,0,0,3,8,1,1,0,2,6,3,0,3,2,0
"199","1101_2015","X001003",2015,1101,"285-313 Spencer Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,300,220,144.9510174,-37.81380833,1101,2015,325,1138,142,0,116,0,11625,38534,0,0,3089,388,0,0,0,0,18823,0,0,0,5341,0,0,52658,0,10595,0,18046,0,62,0,0,0,0,47323,0,14247,0,6206,0,1033,0,0,583,216,102,36,2,0,4,0,0,2,0,1,1,2,0,8,0,1,7,92,8,0
"200","430_2014","X000591",2014,430,"162-174 Rosslyn Street WEST MELBOURNE VIC 3003",54,0,24,30,0,0,0,0,45,0,144.9489077,-37.80925477,430,2014,0,65,20,17,14,0,0,1268,0,0,0,0,0,2560,0,0,2060,0,0,0,0,0,0,1826,0,730,0,256,0,0,0,0,0,0,0,0,5002,0,0,0,529,0,0,0,25,42,5,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,2,0,1
"201","427_2015","X000586",2015,427,"135-137 Roden Street WEST MELBOURNE VIC 3003",41,2,24,15,0,0,0,0,31,48,144.9475988,-37.80835644,427,2015,0,95,39,13,80,0,0,1266,0,0,0,0,0,1555,0,0,2105,0,0,0,1339,0,0,1667,0,6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,0,779,0,39,85,2,0,0,0,1,0,0,0,1,1,0,0,5,1,0,0,2,0,2
"202","431_2008","X000592",2008,431,"478-486 Spencer Street WEST MELBOURNE VIC 3003",0,0,0,0,0,0,0,0,0,0,144.9498257,-37.80874254,431,2008,0,40,0,10,20,0,0,2312,0,0,0,0,0,1637,0,1286,4465,0,0,0,0,0,0,1537,0,1527,0,876,0,0,0,0,7805,0,0,0,0,0,0,0,0,0,0,0,51,22,1,1,0,0,0,0,3,0,0,1,3,0,8,5,0,0,1,3,2
"203","81_2009","X000205",2009,81,"Atlantis Hotel & Tower 284-302 Spencer Street MELBOURNE VIC 3000",205,0,0,0,0,0,0,0,0,0,144.9520545,-37.8137059,81,2009,0,480,19,9,345,0,4878,16022,0,19024,1621,0,0,1656,0,0,1333,0,0,0,10965,0,0,3957,0,19859,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,193,9,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,4,0,0
"204","81_2005","X000204",2005,81,"Mondriane Tower 278-282 Spencer Street MELBOURNE VIC 3000",150,0,0,0,0,0,0,0,0,0,144.9521671,-37.81395166,81,2005,0,265,16,9,197,0,4119,7357,0,27867,1481,0,0,1678,0,0,1193,0,0,0,7640,0,0,4773,0,11856,0,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,133,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
"205","21_2009","X000039",2009,21,"Great Southern Hotel 44-64 Spencer Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9547847,-37.81972836,21,2009,1500,323,89,0,0,0,12388,35226,0,0,1730,0,0,0,0,0,65940,0,24436,0,13984,0,0,3277,0,0,0,618,0,0,0,0,0,0,0,0,2703,0,0,0,0,0,0,1018,342,0,6,0,0,0,0,0,1,4,2,1,1,0,2,1,4,1,1,1,0
"206","1101_2015","X001005",2015,1101,"Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,102,212,144.9522041,-37.81843099,1101,2015,325,1138,142,0,116,0,11625,38534,0,0,3089,388,0,0,0,0,18823,0,0,0,5341,0,0,52658,0,10595,0,18046,0,62,0,0,0,0,47323,0,14247,0,6206,0,1033,0,0,583,216,102,36,2,0,4,0,0,2,0,1,1,2,0,8,0,1,7,92,8,0
"207","1101_2015","X001006",2015,1101,"Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,85,177,144.9522041,-37.81843099,1101,2015,325,1138,142,0,116,0,11625,38534,0,0,3089,388,0,0,0,0,18823,0,0,0,5341,0,0,52658,0,10595,0,18046,0,62,0,0,0,0,47323,0,14247,0,6206,0,1033,0,0,583,216,102,36,2,0,4,0,0,2,0,1,1,2,0,8,0,1,7,92,8,0
"208","1101_2006","X001007",2006,1101,"Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,0,0,144.9522041,-37.81843099,1101,2006,400,555,144,0,100,0,11318,35007,0,0,913,0,0,0,0,0,1484,0,0,0,0,0,0,52382,0,10038,0,10342,0,15,0,0,14323,0,29075,0,10837,0,0,0,0,0,0,583,81,102,25,2,0,2,0,0,1,0,1,0,0,0,2,0,1,0,83,12,0
"209","431_2003","X000593",2003,431,"61-63 Stanley Street WEST MELBOURNE VIC 3003",13,0,0,0,0,0,0,0,0,0,144.9495462,-37.80835759,431,2003,0,30,0,11,20,0,0,2163,0,0,0,0,0,2184,0,1286,4143,0,0,0,0,0,0,2381,0,1445,0,2376,0,0,0,0,5541,0,0,0,0,0,0,0,0,0,1563,0,29,6,1,2,0,0,0,0,2,1,1,0,3,0,7,5,0,0,2,4,3
"210","430_2007","X000590",2007,430,"115-121 Stanley Street WEST MELBOURNE VIC 3003",10,0,0,0,0,0,0,0,0,0,144.9479487,-37.80928863,430,2007,0,45,4,14,18,0,0,1419,0,0,0,0,0,1885,0,0,2097,0,0,0,0,0,0,2224,0,2403,0,452,0,0,0,0,0,0,0,0,0,0,0,0,312,0,1358,0,28,13,3,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,1,2,2
"211","427_2014","X000588",2014,427,"162-170 Stanley Street WEST MELBOURNE VIC 3003",14,0,0,14,0,0,0,0,0,0,144.9471711,-37.80904391,427,2014,0,95,39,13,80,0,0,1266,0,0,0,0,0,1555,0,0,2105,0,0,0,1339,0,0,1667,0,6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,0,779,0,39,85,2,0,0,0,1,0,0,0,1,1,0,0,5,1,0,0,2,0,2
"212","660_2012","X000707",2012,660,"Olympic Park 2-100 Olympic Boulevard MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.9824354,-37.82485516,660,2012,0,144,0,0,0,0,0,12660,0,0,46946,0,0,0,0,0,11320,0,0,0,0,0,0,75495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,287,0,1,0,0,10,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
"213","660_2015","X000708",2015,660,"Olympic Park 2-100 Olympic Boulevard MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.9824354,-37.82485516,660,2015,0,264,24,0,0,0,0,12638,0,0,47668,0,0,0,0,0,9195,0,0,0,0,0,0,77628,0,0,0,0,0,0,58011,0,0,0,0,0,0,0,0,0,0,0,0,154,347,0,3,1,0,10,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0
"214","660_2011","X000709",2011,660,"Olympic Park 2-100 Olympic Boulevard MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.9824354,-37.82485516,660,2011,0,144,0,0,0,0,0,12660,0,0,46946,0,0,0,0,0,11320,0,0,0,0,0,0,75495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,287,0,1,0,0,10,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
"215","35_2002","X000080",2002,35,"Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000",61,0,0,0,0,0,0,0,0,0,144.9657923,-37.81507096,35,2002,1261,2118,237,0,91,0,21417,31532,0,0,5998,3556,1983,0,0,167,20036,0,0,0,0,0,0,539,0,6239,0,26662,0,42,0,0,3671,0,0,0,0,0,0,0,9726,2644,5227,0,0,0,43,26,0,2,5,4,1,16,28,5,110,0,34,22,1,4,151,2,27
