"","block_year","development_key","year_completed","clue_block","street_address","resi_dwellings","studio_dwe","one_bdrm_dwe","two_bdrm_dwe","three_bdrm_dwe","student_apartments","student_beds","student_accommodation_units","car_spaces","bike_spaces","longitude","latitude","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade"
"404","103_2015","X000282",2015,103,"218-236 A'Beckett Street MELBOURNE VIC 3000",320,0,122,172,26,0,0,0,0,0,144.9565992,-37.81017257,103,2015,200,414,3,0,638,0,22916,25341,0,2757,1912,0,0,0,0,0,5227,0,0,0,8874,3060,0,1900,0,37868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570,0,0,125,129,180,7,0,0,0,1,1,1,2,1,0,0,0,10,5,0,2,0,0,0
"405","1108_2013","X001070",2013,1108,"Lifestyle Working 818-838 Collins Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,0,0,144.9450198,-37.82101183,1108,2013,690,2467,1256,0,430,0,0,86674,0,7998,7593,10534,345,0,0,0,191057,30350,11558,0,49986,0,0,76756,0,47615,0,5421,0,0,0,35560,6953,0,0,0,82694,0,1504,35808,2808,0,0,520,1436,426,34,5,0,8,2,2,2,7,5,2,2,0,9,2,1,4,6,4,1
"406","655_2009","X000701",2009,655,"235 Wellington Parade South EAST MELBOURNE VIC 3002",15,0,0,0,0,0,0,0,0,0,144.9765033,-37.81632518,655,2009,0,95,31,15,394,0,5528,15864,0,0,1081,0,0,4950,0,0,5427,0,0,0,16907,0,0,22124,0,40065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,387,3,0,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"407","1108_2012","X001099",2012,1108,"Convesso 2-14 Waterside Place DOCKLANDS VIC 3008",220,0,57,97,66,0,0,0,0,0,144.9421816,-37.81981368,1108,2012,690,2467,1256,0,430,0,0,86674,0,7998,7593,10534,345,0,0,0,191057,30350,11558,0,49986,0,0,76756,0,47615,0,5421,0,0,0,35560,6953,0,0,0,82694,0,1504,35808,2808,0,0,520,1436,426,34,5,0,8,2,2,2,7,5,2,2,0,9,2,1,4,6,4,1
"408","1108_2015","X001102",2015,1108,"Concavo 1-13 Waterside Place DOCKLANDS VIC 3008",232,0,36,153,43,0,0,0,386,295,144.9413873,-37.82006194,1108,2015,690,3625,1360,0,913,0,0,130654,0,3248,12191,10534,715,0,0,0,202239,0,26248,0,78091,0,0,78168,0,80104,0,6353,0,0,0,57140,4036,0,0,0,8320,0,0,7209,23355,0,0,673,1722,925,45,5,0,7,4,1,2,7,4,2,5,0,12,12,1,6,8,4,1
"409","115_2012","X000311",2012,115,"Zen Apartments 23-39 Therry Street MELBOURNE VIC 3000",427,0,68,307,52,0,0,0,157,0,144.9610325,-37.80709644,115,2012,355,613,126,0,520,0,16274,26397,0,3200,4532,0,0,0,0,0,27709,0,13546,0,32475,0,0,1487,0,43680,0,3909,0,0,0,0,441,0,0,0,0,0,0,0,0,0,1613,457,939,0,10,2,0,1,2,3,0,0,1,2,0,0,2,3,0,4,7,1,0
"410","1109_2011","X001106",2011,1109,"2-28 Leven Avenue DOCKLANDS VIC 3008",22,0,0,0,0,0,0,0,0,0,144.9374274,-37.81543651,1109,2011,850,2843,1295,0,971,0,1111,38440,0,0,12873,1401,315,0,0,0,13732,0,9912,17740,36109,0,0,715,0,99002,0,1493,929,0,0,24019,0,0,0,0,0,0,0,100408,9495,0,0,838,30,1375,38,12,1,2,5,0,1,12,3,6,3,1,10,40,3,13,11,7,3
"411","1109_2011","X001119",2011,1109,"453-463 Docklands Drive DOCKLANDS VIC 3008",113,0,0,0,0,0,0,0,20,0,144.9373722,-37.81522444,1109,2011,850,2843,1295,0,971,0,1111,38440,0,0,12873,1401,315,0,0,0,13732,0,9912,17740,36109,0,0,715,0,99002,0,1493,929,0,0,24019,0,0,0,0,0,0,0,100408,9495,0,0,838,30,1375,38,12,1,2,5,0,1,12,3,6,3,1,10,40,3,13,11,7,3
"412","212_2011","X000343",2011,212,"145-161 Princes Street CARLTON VIC 3053",90,0,0,0,0,0,0,0,0,0,144.9705254,-37.79295182,212,2011,0,40,40,0,655,689,0,31722,0,0,0,0,0,0,0,0,0,0,0,0,4341,0,0,51775,0,53236,0,0,0,0,0,0,0,29736,0,0,0,0,0,0,943,0,0,0,10,535,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0
"413","212_2011","X000349",2011,212,"518-538 Drummond Street CARLTON VIC 3053",84,0,0,0,0,0,0,0,0,0,144.9701474,-37.79297916,212,2011,0,40,40,0,655,689,0,31722,0,0,0,0,0,0,0,0,0,0,0,0,4341,0,0,51775,0,53236,0,0,0,0,0,0,0,29736,0,0,0,0,0,0,943,0,0,0,10,535,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0
